id,consent,priority,phys,rus,math,indiv,total
1,False,2,60,67,58,8,193
2,False,2,65,74,72,9,219
3,False,2,78,81,74,4,236
4,False,3,79,85,90,3,256
5,False,3,72,83,80,10,245
8,False,3,73,89,82,2,245
9,False,3,81,95,97,4,277
10,False,2,82,78,81,3,242
11,False,2,66,62,59,3,190
22,True,1,73,76,79,3,231
23,False,2,61,64,60,10,194
24,False,1,72,83,74,1,229
25,False,2,86,79,78,5,247
26,False,2,47,57,60,8,172
27,False,1,76,74,69,5,222
28,False,2,64,60,71,8,201
29,False,1,77,63,81,7,228
30,True,1,63,68,52,1,184
31,False,2,77,75,81,6,240
32,False,2,82,72,78,0,232
33,False,2,70,80,76,7,233
34,False,2,62,76,67,7,210
35,False,1,75,72,70,5,223
36,False,1,58,66,62,10,195
50,False,1,79,89,86,2,255
51,False,2,57,66,71,7,202
52,False,2,84,76,86,8,256
53,False,1,67,62,67,9,205
54,False,2,76,73,68,9,227
55,False,2,64,71,71,7,213
56,True,2,78,92,88,1,259
57,False,2,82,85,88,5,261
58,True,1,99,100,100,6,303
59,False,1,67,85,78,8,236
60,False,1,89,84,85,1,259
61,False,2,83,89,85,10,266
72,False,1,72,77,74,10,230
73,False,1,61,62,64,3,189
74,False,1,85,82,87,0,252
75,True,2,60,67,61,4,191
76,False,2,62,74,66,1,204
77,False,2,59,69,68,4,199
78,False,2,83,84,83,9,258
79,False,2,73,76,75,1,225
80,False,1,70,58,59,8,196
81,False,2,63,69,65,0,197
82,False,2,77,79,85,10,250
83,False,1,56,66,70,1,192
84,False,1,54,57,80,3,192
85,False,1,80,84,79,2,246
86,False,1,59,57,64,10,189
119,False,1,80,86,74,2,243
120,False,1,99,96,100,0,294
121,False,1,53,62,62,3,179
122,False,1,72,75,79,1,225
123,False,1,76,73,71,5,224
124,False,1,63,54,74,1,190
125,False,1,60,66,67,7,201
126,False,1,80,75,73,7,235
127,False,1,69,80,84,5,237
128,False,1,66,69,71,7,210
129,False,1,74,75,71,4,225
130,False,1,79,75,75,3,233
131,True,1,80,82,75,10,246
132,False,1,74,82,81,7,243
133,False,1,78,80,72,6,237
134,False,1,74,78,70,5,224
135,False,1,99,86,94,8,287
136,False,1,85,85,81,0,252
137,False,1,71,76,79,10,236
138,False,1,75,81,76,0,231
139,False,1,63,68,66,8,204
140,True,1,65,80,72,9,226
141,True,1,79,83,81,6,248
142,False,1,82,84,77,0,241
143,False,1,87,100,90,1,279
144,False,1,82,74,72,8,237
145,False,1,58,67,57,8,191
146,True,1,91,95,92,6,284
147,False,1,79,91,81,9,260
148,False,1,59,66,59,5,190
149,False,1,93,94,88,3,278
150,False,1,76,72,75,10,232
151,False,1,61,55,60,9,185
152,False,1,75,68,69,7,218
153,False,1,70,69,66,8,214
154,False,1,87,97,85,10,278
155,False,1,64,70,71,2,206
156,False,1,71,76,69,8,224
157,False,1,62,72,67,5,207
158,True,1,71,72,78,4,224
159,True,1,58,69,71,7,207
160,False,1,75,79,74,2,230
161,True,1,82,83,85,6,254
162,False,1,83,80,77,6,246
163,False,1,76,61,65,7,209
164,False,1,55,68,70,10,201
165,False,1,74,82,75,0,230
166,False,1,76,78,73,2,228
167,False,1,62,54,75,7,199
