id,consent,priority,phys,rus,math,indiv,total
46,True,1,76,89,71,1,235
171,False,1,54,64,62,0,180
65,False,1,70,68,77,4,220
6,False,2,60,64,66,6,194
37,False,2,64,75,59,3,202
172,True,1,84,81,81,9,257
169,False,1,93,98,91,2,286
3,False,4,78,81,74,4,236
85,False,1,80,84,79,2,244
48,False,2,71,74,77,2,223
140,False,2,65,80,72,9,225
77,False,2,59,69,68,3,198
153,True,1,70,69,66,8,214
67,False,2,73,78,78,4,235
62,False,1,66,72,77,10,226
168,False,1,54,63,49,4,170
10,True,3,82,78,81,1,241
39,True,1,59,70,65,6,199
170,False,1,84,98,91,1,275
74,True,1,85,82,87,0,255
78,False,1,83,84,83,10,260
80,True,1,70,58,59,9,195
81,True,2,63,69,65,4,203
129,True,1,74,75,71,4,225
86,False,2,59,57,64,10,191
1,False,1,60,67,58,10,194
180,True,1,80,78,75,8,242
11,True,3,66,62,59,4,190
38,False,1,79,75,73,3,230
71,True,2,77,85,71,6,240
175,False,1,67,63,69,6,208
79,True,2,73,76,75,0,224
177,False,1,81,74,83,0,238
49,False,2,68,69,71,1,211
179,True,1,72,79,66,4,220
7,False,3,60,77,64,1,201
66,False,1,76,77,78,8,239
47,False,2,53,51,55,3,161
96,False,1,71,68,79,8,225
123,False,2,76,73,71,5,226
158,True,2,71,72,78,4,225
150,True,2,76,72,75,10,231
152,True,1,75,68,69,6,216
83,False,2,56,66,70,0,192
64,True,2,88,89,95,0,273
84,True,1,54,57,80,3,196
107,False,2,56,54,54,7,171
73,True,1,61,62,64,5,193
28,False,1,64,60,71,7,202
9,False,1,81,95,97,4,278
176,True,1,66,74,83,3,227
8,False,2,73,89,82,0,245
100,True,1,66,66,73,0,206
99,False,2,70,78,75,7,230
131,False,1,80,82,75,10,247
174,False,2,60,45,56,2,162
164,True,2,55,68,70,8,201
82,False,1,77,79,85,10,249
70,True,1,84,71,73,6,234
119,False,1,80,86,74,4,245
139,True,1,63,68,66,8,208
63,True,1,73,70,68,6,219
44,True,1,55,65,64,7,191
69,True,1,71,71,74,6,222
94,False,2,50,63,62,9,184
173,False,1,91,90,85,2,269
26,True,2,47,57,60,7,173
93,True,2,63,63,59,2,187
76,True,2,62,74,66,2,205
142,False,1,82,84,77,0,244
138,True,1,75,81,76,1,231
68,False,2,83,82,81,9,255
98,False,1,73,78,72,7,228
24,False,2,72,83,74,0,228
40,False,1,80,92,86,6,263
178,True,2,59,69,63,2,193
109,False,1,82,82,83,1,249
41,False,2,71,80,83,4,240
72,False,2,72,77,74,10,233
115,True,2,60,66,60,5,192
181,True,2,93,87,100,2,282
182,True,4,96,100,100,4,302
183,True,1,66,71,66,4,209
184,False,1,64,64,63,2,194
185,False,3,94,100,92,7,293
186,False,4,70,65,70,0,204
187,False,3,65,75,61,0,201
188,False,2,71,79,79,6,236
189,True,2,87,76,84,0,247
190,True,2,84,83,87,0,254
191,True,2,75,83,85,7,251
192,False,2,72,64,77,8,221
193,True,3,79,75,76,4,234
194,False,1,81,66,86,1,236
195,False,4,91,98,83,5,279
196,True,3,64,75,73,5,216
197,True,2,60,61,61,3,185
198,False,1,69,61,64,8,201
199,False,2,86,87,95,10,281
200,False,3,69,70,69,0,211
201,False,3,54,49,50,4,156
202,False,1,68,70,65,0,203
203,True,3,74,84,73,10,240
204,False,3,90,84,90,6,270
205,False,4,63,65,60,0,189
206,True,2,78,90,78,5,250
207,False,1,87,84,80,3,255
208,True,3,70,76,71,2,218
209,True,1,73,79,75,5,231
210,False,3,96,97,87,0,279
211,True,4,79,91,86,2,259
212,False,3,84,81,80,10,257
213,False,1,77,85,80,0,241
214,False,1,75,87,93,0,256
215,True,2,82,73,74,7,237
216,True,3,74,63,71,6,214
217,True,1,62,66,77,10,213
218,False,4,71,88,79,9,248
219,True,3,74,78,62,8,222
220,True,3,100,100,100,9,310
221,True,1,63,75,79,4,221
222,True,3,85,81,93,2,263
223,False,4,90,89,85,0,263
