id,consent,priority,phys,rus,math,indiv,total
420,False,2,82,83,78,0,244
534,False,1,93,93,85,6,277
292,False,1,62,70,63,1,196
388,False,2,91,91,83,4,269
459,True,1,60,59,64,5,189
118,False,2,61,74,70,4,209
390,True,1,82,84,77,10,255
496,False,2,58,54,74,2,187
135,False,2,99,86,94,7,286
244,True,3,76,62,79,0,216
302,True,1,60,81,78,0,219
19,False,1,75,67,62,3,207
112,True,1,79,75,73,0,227
194,False,4,81,66,86,0,233
380,False,1,77,74,75,4,232
210,False,3,96,97,87,0,281
287,False,1,71,86,70,0,228
435,False,2,77,72,77,0,227
466,False,2,82,84,72,4,243
465,False,2,69,76,66,1,213
222,False,3,85,81,93,2,262
489,True,1,64,62,53,9,189
227,False,3,71,76,79,2,227
381,False,1,87,100,90,2,279
1,False,4,60,67,58,9,195
392,False,2,71,62,58,9,200
240,True,2,65,73,68,6,211
216,False,4,74,63,71,6,215
184,False,2,64,64,63,2,194
93,False,2,63,63,59,1,186
188,False,1,71,79,79,4,233
417,False,2,73,71,71,6,221
195,False,4,91,98,83,6,278
438,False,2,64,69,72,1,207
502,False,2,75,77,81,7,241
257,True,3,80,89,84,1,254
250,False,3,64,59,63,9,195
299,False,2,83,84,91,2,261
11,False,1,66,62,59,4,191
64,False,2,88,89,95,2,274
309,False,1,99,90,88,9,286
494,False,2,85,80,80,5,250
441,False,2,85,86,83,0,254
442,False,1,97,93,93,3,286
52,False,2,84,76,86,10,257
53,True,1,67,62,67,9,206
20,False,2,65,62,65,9,202
190,False,3,84,83,87,2,257
486,False,2,77,84,81,9,252
491,True,2,80,85,87,7,261
236,False,3,77,79,92,5,251
424,False,1,70,69,71,8,216
533,False,1,79,84,90,7,261
495,True,1,75,85,82,2,244
108,False,2,95,96,84,5,281
413,False,1,60,69,77,4,211
454,False,2,80,85,82,8,256
248,False,3,70,76,80,7,232
297,False,1,63,74,66,8,210
12,False,1,65,66,65,0,195
509,False,2,63,75,67,5,210
445,False,1,48,62,61,3,173
251,False,3,77,73,75,10,237
409,False,1,85,89,84,4,262
113,False,1,58,72,69,2,201
301,False,2,90,87,87,8,272
207,False,4,87,84,80,4,254
233,False,1,62,59,73,8,203
249,False,1,60,75,63,2,198
71,False,2,77,85,71,3,237
422,False,2,60,64,58,5,187
469,True,1,82,80,80,2,243
288,True,1,62,74,61,10,207
69,False,2,71,71,74,5,221
526,False,2,60,52,60,5,175
202,False,3,68,70,65,0,204
425,False,2,80,81,88,2,251
470,False,1,75,80,67,1,224
482,False,2,70,73,73,4,223
456,False,1,67,74,68,6,215
173,False,2,91,90,85,2,268
300,False,2,54,68,63,6,191
208,False,1,70,76,71,4,220
127,False,2,69,80,84,5,239
253,False,3,83,74,67,6,231
418,False,2,72,71,66,4,214
186,False,2,70,65,70,0,205
530,False,2,79,81,75,9,245
531,False,2,90,86,87,8,271
416,False,1,77,90,85,1,254
252,False,3,73,62,69,8,210
383,False,2,69,69,61,3,202
400,False,1,99,90,95,9,293
516,True,1,49,64,58,9,181
55,False,1,64,71,71,8,213
513,False,1,79,83,75,5,242
209,False,4,73,79,75,4,232
13,False,1,89,89,84,8,270
212,False,4,84,81,80,8,254
154,False,1,87,97,85,7,276
130,False,1,79,75,75,4,234
262,False,3,83,79,79,9,249
407,False,2,73,81,71,5,230
500,False,2,59,61,64,7,193
519,False,2,62,79,71,1,213
535,False,1,68,60,69,4,202
70,False,1,84,71,73,6,233
286,False,3,78,84,73,3,238
455,False,2,63,70,77,6,217
149,False,1,93,94,88,5,281
54,False,1,76,73,68,9,226
245,False,1,66,64,59,8,197
452,False,2,77,84,85,2,247
421,False,1,71,81,82,9,244
296,False,2,88,83,80,3,254
137,False,1,71,76,79,10,237
431,False,1,69,67,89,4,229
239,False,2,63,72,68,4,207
308,False,1,77,76,85,4,241
5,False,3,72,83,80,10,244
201,False,1,54,49,50,6,159
307,False,2,75,67,74,10,226
21,False,1,79,76,78,1,237
58,False,1,99,100,100,9,309
433,False,1,60,61,57,10,188
440,False,1,73,70,89,4,236
206,False,3,78,90,78,5,251
385,False,2,65,72,77,1,216
444,False,2,77,82,88,5,252
304,False,2,62,67,62,6,198
439,False,2,80,82,83,5,251
401,True,2,73,79,71,0,221
406,True,2,86,79,73,7,248
405,False,1,72,84,77,6,238
104,False,2,67,72,81,6,226
234,False,2,72,62,70,7,211
223,False,3,90,89,85,0,264
261,False,3,65,69,75,1,210
115,True,1,60,66,60,6,192
477,True,2,67,65,60,6,197
219,False,4,74,78,62,6,222
229,False,2,44,50,48,8,149
148,False,1,59,66,59,5,190
436,False,1,71,70,66,0,205
305,False,1,78,83,78,3,240
493,False,1,93,95,90,6,286
221,False,4,63,75,79,5,221
387,False,2,62,70,67,0,199
218,False,1,71,88,79,8,245
430,False,2,66,70,61,4,200
91,False,2,82,86,87,5,261
266,False,2,87,88,78,7,262
285,False,1,41,62,55,2,159
255,False,2,72,76,81,2,230
480,False,2,80,73,76,8,238
457,False,1,72,67,72,8,220
205,False,2,63,65,60,0,191
423,False,1,73,72,68,7,220
432,False,1,82,89,90,8,269
427,False,2,97,88,88,2,277
87,False,2,69,64,73,6,213
524,False,2,76,83,65,10,235
479,False,1,53,66,75,9,202
243,True,1,86,72,82,3,243
503,False,2,40,48,43,0,132
204,False,4,90,84,90,6,270
538,True,2,68,69,81,8,226
467,False,2,89,97,94,4,284
68,False,1,83,82,81,10,256
446,False,2,60,72,64,9,204
499,True,1,65,68,67,10,211
512,False,2,67,73,61,1,203
50,False,1,79,89,86,2,256
525,False,2,74,78,81,5,238
403,False,1,99,96,94,2,290
246,False,3,64,63,65,7,198
238,False,1,71,68,70,5,215
88,False,2,68,83,72,7,231
298,True,1,54,53,57,8,171
183,False,4,66,71,66,6,209
