id,consent,priority,phys,rus,math,indiv,total
1,True,3,60,67,58,7,191
2,True,1,65,74,72,8,219
3,False,1,78,81,74,3,237
6,False,2,60,64,66,6,196
7,False,1,60,77,64,2,202
8,False,2,73,89,82,1,244
9,False,2,81,95,97,3,276
10,False,3,82,78,81,2,243
11,True,1,66,62,59,4,193
37,False,1,64,75,59,4,201
38,False,1,79,75,73,2,231
39,False,2,59,70,65,5,199
40,False,2,80,92,86,6,265
41,False,2,71,80,83,3,237
42,True,1,61,51,56,1,168
43,False,2,69,74,69,3,215
44,False,1,55,65,64,6,191
45,False,2,78,77,72,2,230
46,True,1,76,89,71,0,236
47,False,2,53,51,55,4,162
48,False,2,71,74,77,1,222
49,False,1,68,69,71,0,205
62,False,1,66,72,77,10,226
63,False,1,73,70,68,5,215
64,False,2,88,89,95,0,271
65,False,1,70,68,77,5,218
66,False,2,76,77,78,9,238
67,False,2,73,78,78,5,233
68,False,1,83,82,81,10,256
69,False,2,71,71,74,5,220
70,False,1,84,71,73,8,238
71,False,1,77,85,71,5,238
72,False,2,72,77,74,10,233
73,False,2,61,62,64,3,190
74,False,2,85,82,87,0,255
75,False,1,60,67,61,4,193
76,False,1,62,74,66,0,201
77,True,1,59,69,68,3,199
78,False,1,83,84,83,10,257
79,False,1,73,76,75,1,225
80,False,2,70,58,59,9,197
81,True,1,63,69,65,2,199
82,False,1,77,79,85,10,250
83,False,2,56,66,70,1,191
84,False,2,54,57,80,0,190
85,False,2,80,84,79,3,245
86,False,2,59,57,64,10,191
168,False,1,54,63,49,2,169
169,False,1,93,98,91,5,287
170,False,1,84,98,91,2,273
171,True,1,54,64,62,0,180
172,False,1,84,81,81,10,255
173,False,1,91,90,85,1,266
174,False,1,60,45,56,1,160
175,False,1,67,63,69,6,203
176,True,1,66,74,83,3,225
177,False,1,81,74,83,3,240
178,True,1,59,69,63,2,192
179,False,1,72,79,66,3,220
180,False,1,80,78,75,7,239
