id,consent,priority,phys,rus,math,indiv,total
61,True,1,83,89,85,9,267
53,True,1,67,62,67,8,203
58,True,1,99,100,100,6,306
65,True,2,70,68,77,4,219
4,True,1,79,85,90,5,259
14,False,2,83,75,74,1,233
113,False,1,58,72,69,5,204
3,True,3,78,81,74,3,235
136,False,2,85,85,81,3,255
116,True,1,69,74,78,6,228
137,True,1,71,76,79,10,237
67,True,1,73,78,78,7,235
62,False,2,66,72,77,8,224
10,True,1,82,78,81,4,244
13,False,2,89,89,84,8,271
112,False,1,79,75,73,0,227
154,False,1,87,97,85,9,278
114,False,1,69,67,77,4,217
57,True,1,82,85,88,2,256
1,False,2,60,67,58,9,194
11,True,2,66,62,59,4,192
71,True,1,77,85,71,5,238
145,False,2,58,67,57,9,190
126,False,1,80,75,73,6,234
124,False,2,63,54,74,0,190
146,True,1,91,95,92,5,283
20,False,1,65,62,65,10,202
15,False,2,53,54,52,7,165
7,False,2,60,77,64,1,202
149,False,1,93,94,88,5,279
66,False,2,76,77,78,9,241
159,True,2,58,69,71,6,205
110,True,1,48,59,63,6,176
55,True,1,64,71,71,7,214
135,False,2,99,86,94,4,284
51,True,2,57,66,71,7,200
64,True,1,88,89,95,1,274
111,False,1,78,73,77,9,238
52,True,2,84,76,86,8,252
104,True,2,67,72,81,6,224
5,True,2,72,83,80,10,244
108,False,1,95,96,84,4,280
130,True,2,79,75,75,2,231
127,True,1,69,80,84,5,241
70,False,2,84,71,73,8,237
143,True,1,87,100,90,0,279
63,True,2,73,70,68,6,217
19,True,2,75,67,62,3,206
69,False,2,71,71,74,6,223
54,False,1,76,73,68,10,227
91,False,2,82,86,87,5,260
117,False,1,84,83,87,3,257
173,False,2,91,90,85,1,267
60,False,1,89,84,85,0,257
156,True,1,71,76,69,5,222
59,False,1,67,85,78,5,237
18,True,2,68,72,68,7,215
50,True,2,79,89,86,3,258
148,False,1,59,66,59,4,188
93,True,1,63,63,59,3,188
21,True,1,79,76,78,0,234
118,False,2,61,74,70,6,211
12,False,2,65,66,65,1,198
