id,consent,priority,phys,rus,math,indiv,total
1064,True,1,76,92,92,10,271
1319,False,1,79,79,85,9,253
1410,False,1,54,79,67,5,205
1081,False,2,69,76,69,10,225
938,False,1,97,81,88,1,269
888,True,1,81,87,89,5,265
1430,False,2,94,93,98,10,298
659,True,4,59,60,66,5,189
199,False,2,86,87,95,8,277
521,False,2,63,72,61,3,200
78,False,1,83,84,83,10,262
883,False,2,74,81,74,0,230
1118,True,2,59,61,62,0,181
1460,False,2,79,81,80,0,241
1518,False,2,53,57,49,4,163
1605,True,1,63,71,66,5,206
1575,True,1,50,69,73,0,193
1295,True,2,54,68,59,2,182
871,False,2,100,100,94,10,307
222,False,2,85,81,93,3,265
567,True,1,70,82,82,9,244
458,True,2,99,84,83,3,270
22,False,1,73,76,79,4,232
1015,False,1,77,80,75,3,237
82,True,1,77,79,85,9,250
1087,True,1,86,92,89,1,269
1020,True,3,83,86,79,4,254
1289,True,1,74,69,76,1,221
1463,False,1,50,62,73,4,190
841,False,3,66,64,62,5,197
1146,True,3,71,78,73,3,225
941,False,3,71,79,77,10,240
1424,True,1,80,89,93,8,271
1143,True,1,78,92,84,10,266
645,True,1,78,79,75,6,240
439,True,1,80,82,83,4,251
589,False,2,84,86,84,1,258
830,False,3,74,67,61,2,205
1016,True,2,89,91,86,10,279
952,True,3,81,85,88,3,260
428,False,1,78,74,84,9,246
1607,True,1,75,89,68,6,241
849,True,2,72,69,70,10,223
874,True,1,71,77,79,8,235
229,False,3,44,50,48,10,152
83,True,1,56,66,70,1,193
1439,False,1,66,74,71,8,220
681,False,3,68,73,62,3,207
1111,True,2,63,69,61,10,205
142,False,2,82,84,77,0,243
200,False,2,69,70,69,2,211
1039,False,2,85,95,92,0,276
1049,True,2,87,89,82,10,268
801,False,4,66,73,74,10,222
273,True,2,86,98,96,0,281
1394,True,2,74,76,72,8,230
1407,True,1,80,84,76,6,246
779,True,2,73,69,64,1,208
1287,False,1,58,57,58,2,174
1326,True,2,94,82,98,10,286
560,False,2,71,74,69,2,217
813,True,4,76,80,74,4,235
718,False,3,71,66,65,3,205
945,True,2,62,64,62,9,197
216,False,4,74,63,71,5,213
268,False,2,67,51,61,10,189
1513,False,1,77,82,68,2,229
926,False,1,44,52,50,0,146
1032,True,2,93,86,85,7,272
33,False,2,70,80,76,5,232
652,False,3,73,71,72,1,218
742,False,2,79,78,78,10,247
1329,False,2,77,62,80,0,221
1,False,1,60,67,58,8,192
1297,True,2,85,79,86,9,261
602,True,2,70,81,73,10,236
181,True,4,93,87,100,2,284
872,False,1,71,78,74,5,229
932,True,2,85,93,86,2,269
1157,True,1,86,91,88,1,267
1107,False,2,80,84,86,6,255
1078,False,1,60,71,64,1,197
1153,False,3,73,91,84,1,249
578,False,1,66,65,68,1,202
561,True,2,62,81,79,10,234
74,True,2,85,82,87,1,256
1003,True,1,95,94,90,7,287
1426,True,2,69,76,72,7,226
190,False,1,84,83,87,2,259
745,True,1,78,72,74,7,232
656,True,1,78,78,86,5,248
951,True,3,73,76,85,4,239
920,True,1,84,96,94,2,280
1549,True,1,74,87,81,4,247
1100,True,2,66,70,68,7,211
167,True,2,62,54,75,8,199
800,False,2,72,83,78,2,235
1524,False,2,62,71,82,6,222
1121,False,4,100,92,99,8,300
289,True,2,73,80,76,8,238
735,True,4,74,70,72,0,217
595,False,1,83,81,79,1,246
587,True,2,72,79,74,5,231
1610,False,1,92,94,89,7,284
327,False,2,62,62,63,2,191
968,False,3,63,69,67,0,198
689,False,3,47,52,48,0,148
698,True,3,66,67,64,7,204
1061,False,3,56,69,59,6,191
9,False,1,81,95,97,5,279
803,True,2,99,97,95,6,299
1530,True,2,79,71,77,5,233
1140,False,3,64,61,56,5,187
1089,False,2,72,67,83,4,229
1332,True,1,77,70,82,3,234
836,False,1,56,55,54,8,174
1334,True,1,74,72,77,5,229
185,True,1,94,100,92,7,296
515,True,2,62,55,64,1,181
1384,True,1,57,63,61,2,184
854,True,4,64,52,64,5,185
996,True,2,56,54,62,6,179
325,True,2,80,85,79,8,255
339,True,1,89,83,84,6,262
768,False,2,70,74,66,9,218
25,True,1,86,79,78,3,247
825,False,2,75,82,79,1,239
1076,False,2,73,76,74,6,230
1539,True,1,72,77,69,0,220
287,True,1,71,86,70,0,226
853,True,3,76,76,80,2,235
76,True,2,62,74,66,3,206
404,True,1,85,92,88,7,273
929,True,2,76,78,80,10,245
954,True,4,74,73,64,3,216
822,False,3,69,73,60,3,207
357,True,3,72,83,73,2,230
81,False,2,63,69,65,2,200
1317,True,1,59,59,66,5,190
1611,False,1,65,66,66,8,204
72,True,2,72,77,74,10,236
642,False,3,71,65,73,8,217
1411,True,1,72,76,79,7,235
1551,True,2,64,73,69,1,209
1322,True,1,80,86,78,1,247
1498,False,2,72,75,73,2,222
288,True,3,62,74,61,8,204
747,True,1,59,64,61,3,188
1609,True,1,70,63,81,3,218
358,True,2,72,72,62,0,206
270,True,2,72,79,76,4,232
946,True,3,56,67,65,10,199
664,False,4,67,70,74,2,214
588,True,1,73,80,91,9,253
557,False,2,69,81,74,7,232
625,True,2,100,98,97,7,305
835,True,1,59,72,66,8,208
1091,False,4,60,66,72,2,201
11,False,2,66,62,59,4,191
231,False,3,80,91,85,0,258
376,False,3,83,86,88,8,269
904,True,1,83,82,79,0,245
1350,False,1,79,74,76,7,238
1508,True,2,65,73,66,8,212
785,False,4,98,95,91,2,288
824,False,3,62,53,60,7,182
737,False,2,74,69,74,4,223
